                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63099,                0.61352,                0.95515,                0.79344,                0.77086,                0.81718,                0.68915,                0.54486,                0.43083,                0.89551,              0.0033303,              0.0033303,              0.0033303
                      2,                 0.7035,                0.65962,                0.97506,                0.85067,                0.74665,                0.82756,                0.69029,                0.56857,                0.44616,                0.90072,              0.0064987,              0.0064987,              0.0064987
                      3,                0.74257,                0.69898,                0.99296,                0.85541,                 0.6536,                0.75655,                0.63383,                0.55393,                 0.4861,                0.91585,              0.0095021,              0.0095021,              0.0095021
                      4,                0.72519,                0.68116,                0.99193,                0.90265,                 0.7133,                0.84695,                0.71637,                0.54323,                0.43031,                0.92803,              0.0092575,              0.0092575,              0.0092575
                      5,                0.68173,                0.62452,                0.97724,                0.87649,                0.73994,                0.84346,                0.71014,                0.54878,                0.43121,                0.93971,                0.00901,                0.00901,                0.00901
                      6,                 0.6559,                0.59166,                0.97557,                0.87396,                0.79738,                0.86852,                0.73143,                0.53993,                 0.4715,                0.92546,              0.0087625,              0.0087625,              0.0087625
                      7,                0.63589,                0.56215,                0.96771,                0.83825,                0.81731,                0.88558,                0.75238,                0.50674,                0.36303,                0.91266,               0.008515,               0.008515,               0.008515
                      8,                0.61456,                0.53998,                0.95803,                0.86362,                0.83568,                0.88222,                0.76044,                0.49145,                0.34902,                0.89985,              0.0082675,              0.0082675,              0.0082675
                      9,                0.60385,                 0.5243,                0.95691,                0.87337,                0.85363,                0.90139,                0.77397,                0.48195,                0.32756,                0.88953,                0.00802,                0.00802,                0.00802
                     10,                0.59391,                0.51121,                0.95547,                0.89721,                0.82398,                0.91063,                  0.785,                0.47291,                0.33463,                0.89729,              0.0077725,              0.0077725,              0.0077725
                     11,                0.58375,                 0.4984,                 0.9515,                0.91091,                0.83832,                0.93548,                0.80263,                0.47408,                0.31408,                 0.8947,               0.007525,               0.007525,               0.007525
                     12,                0.57598,                0.48525,                0.95027,                0.88216,                0.87264,                0.93251,                0.80436,                0.47515,                0.30609,                0.89533,              0.0072775,              0.0072775,              0.0072775
                     13,                0.56627,                0.47531,                 0.9451,                0.86032,                0.87979,                 0.9319,                0.80543,                0.46344,                 0.2995,                0.90121,                0.00703,                0.00703,                0.00703
                     14,                0.56075,                0.46937,                0.94584,                0.90809,                0.87605,                0.94891,                 0.8292,                0.45429,                0.29012,                0.88233,              0.0067825,              0.0067825,              0.0067825
                     15,                0.55426,                0.45993,                0.94219,                0.90705,                0.87762,                0.94778,                0.82661,                0.46097,                0.28528,                0.89556,               0.006535,               0.006535,               0.006535
                     16,                0.54879,                0.45578,                 0.9416,                0.89365,                0.89812,                 0.9567,                0.84162,                0.44824,                0.27501,                0.88571,              0.0062875,              0.0062875,              0.0062875
