                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.069,                 2.7852,                 1.2037,                0.77496,                0.17783,                0.23554,                0.18618,                0.82593,                0.98841,                 1.0576,             2.7974e-05,             2.7974e-05,             2.7974e-05
                      2,                 0.7421,                 1.0264,                 1.0219,                0.70189,                0.39783,                0.44358,                0.37385,                0.62478,                0.65242,                0.96122,             5.0433e-05,             5.0433e-05,             5.0433e-05
                      3,                0.65336,                0.78392,                0.97336,                 0.7267,                0.51343,                0.55828,                0.47851,                0.57588,                0.54888,                0.91986,             6.7347e-05,             6.7347e-05,             6.7347e-05
                      4,                0.60314,                0.66973,                0.94809,                0.83097,                0.53848,                0.60481,                0.52818,                0.52054,                0.49178,                0.89923,             5.9052e-05,             5.9052e-05,             5.9052e-05
                      5,                0.57209,                0.60149,                0.93473,                0.80695,                0.58879,                0.67716,                0.58316,                0.52355,                0.44729,                0.89465,             5.0736e-05,             5.0736e-05,             5.0736e-05
                      6,                0.54948,                0.55839,                0.92487,                0.78715,                0.63711,                0.71806,                0.61835,                 0.5104,                0.43198,                0.88705,              4.242e-05,              4.242e-05,              4.242e-05
                      7,                 0.5301,                 0.5266,                0.91801,                0.81896,                0.65096,                0.73936,                0.64039,                0.49456,                0.40411,                0.87551,             3.4104e-05,             3.4104e-05,             3.4104e-05
                      8,                0.51764,                0.50369,                0.91257,                0.80947,                0.69902,                0.75814,                0.66054,                0.48061,                0.38986,                0.87156,             2.5788e-05,             2.5788e-05,             2.5788e-05
                      9,                 0.5093,                0.48852,                0.90996,                0.83727,                0.68846,                0.75963,                0.65709,                0.49492,                0.38495,                0.87583,             1.7472e-05,             1.7472e-05,             1.7472e-05
                     10,                0.50049,                0.47771,                0.90671,                0.85697,                0.68171,                0.78085,                0.67813,                0.48163,                0.37644,                0.87077,              9.156e-06,              9.156e-06,              9.156e-06
