                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7881,                 4.2091,                 1.5156,                0.59022,                0.09735,                0.09545,                0.06547,                 1.1822,                 2.0488,                 1.1901,             2.5312e-05,             2.5312e-05,             2.5312e-05
                      2,                 1.1632,                 1.8592,                 1.1617,                0.72612,                0.13995,                0.18375,                0.14427,                0.83356,                 1.0518,                 1.0717,             4.8974e-05,             4.8974e-05,             4.8974e-05
                      3,                 1.0156,                 1.3001,                  1.093,                0.55089,                0.25715,                0.27235,                0.21976,                0.80753,                0.88716,                 1.0346,             7.0964e-05,             7.0964e-05,             7.0964e-05
                      4,                0.93567,                  1.116,                 1.0578,                0.60817,                0.37492,                0.35455,                0.28633,                0.82081,                0.79359,                 1.0265,             6.8476e-05,             6.8476e-05,             6.8476e-05
                      5,                0.88639,                 1.0179,                 1.0387,                0.71002,                0.37463,                0.42064,                0.34848,                0.72168,                0.73771,                0.99564,             6.5968e-05,             6.5968e-05,             6.5968e-05
                      6,                0.84726,                0.95452,                 1.0257,                0.74777,                0.41101,                0.48116,                 0.4005,                0.67599,                0.68611,                0.98787,              6.346e-05,              6.346e-05,              6.346e-05
                      7,                0.81761,                0.89774,                 1.0148,                0.77998,                0.42803,                0.50264,                0.42138,                0.66084,                0.66426,                0.98702,             6.0952e-05,             6.0952e-05,             6.0952e-05
                      8,                0.80603,                0.86989,                 1.0115,                0.77785,                0.46628,                0.53335,                0.44769,                0.64632,                0.63633,                0.98181,             5.8444e-05,             5.8444e-05,             5.8444e-05
                      9,                0.78689,                0.84381,                 1.0055,                0.80574,                0.46968,                0.55143,                0.46339,                0.65501,                0.62467,                0.97943,             5.5936e-05,             5.5936e-05,             5.5936e-05
                     10,                0.77249,                0.81496,                0.99905,                0.79784,                0.47554,                 0.5644,                0.47209,                0.63546,                0.60524,                0.97807,             5.3428e-05,             5.3428e-05,             5.3428e-05
                     11,                0.75968,                0.79198,                0.99502,                0.79969,                0.51045,                0.57927,                0.48973,                0.63254,                0.59411,                0.97365,              5.092e-05,              5.092e-05,              5.092e-05
                     12,                0.74931,                0.76883,                0.99115,                0.81263,                0.50503,                0.57341,                 0.4843,                0.62124,                0.58551,                0.97281,             4.8412e-05,             4.8412e-05,             4.8412e-05
                     13,                0.74217,                0.76263,                0.99044,                0.76632,                0.53628,                0.58401,                0.49213,                0.62631,                 0.5756,                0.96816,             4.5904e-05,             4.5904e-05,             4.5904e-05
                     14,                0.72998,                0.74496,                 0.9845,                0.81223,                0.54225,                0.59768,                0.50526,                0.61482,                  0.564,                0.96891,             4.3396e-05,             4.3396e-05,             4.3396e-05
                     15,                0.72187,                0.73037,                0.98361,                0.82168,                0.56127,                0.61875,                0.52381,                 0.6104,                0.56203,                0.96101,             4.0888e-05,             4.0888e-05,             4.0888e-05
                     16,                0.71893,                0.72574,                0.98098,                0.84005,                 0.5588,                0.61908,                0.52311,                0.60768,                0.54779,                0.96281,              3.838e-05,              3.838e-05,              3.838e-05
                     17,                0.71269,                0.71359,                0.98009,                0.80377,                0.57938,                0.61942,                0.52457,                 0.6257,                0.55318,                0.96778,             3.5872e-05,             3.5872e-05,             3.5872e-05
                     18,                0.70264,                0.70107,                0.97525,                0.81833,                0.57726,                0.63475,                0.53594,                0.61109,                0.53911,                 0.9634,             3.3364e-05,             3.3364e-05,             3.3364e-05
                     19,                0.69863,                0.69607,                0.97561,                0.81644,                0.59284,                0.65422,                0.55119,                0.60539,                0.53266,                0.95996,             3.0856e-05,             3.0856e-05,             3.0856e-05
                     20,                0.69249,                0.68677,                0.97367,                0.83578,                0.58727,                0.65197,                0.55171,                0.60524,                0.53224,                0.95908,             2.8348e-05,             2.8348e-05,             2.8348e-05
                     21,                0.64024,                0.55516,                 0.9648,                0.82972,                0.60802,                0.67042,                0.56755,                0.60834,                 0.5266,                0.96466,              2.584e-05,              2.584e-05,              2.584e-05
                     22,                0.62391,                0.53466,                 0.9596,                0.86695,                0.60125,                 0.6815,                 0.5792,                0.59434,                0.51305,                 0.9583,             2.3332e-05,             2.3332e-05,             2.3332e-05
                     23,                0.61447,                0.52276,                0.95697,                0.86111,                0.61077,                 0.6841,                 0.5812,                0.59102,                0.50703,                0.95754,             2.0824e-05,             2.0824e-05,             2.0824e-05
                     24,                0.60657,                0.51258,                 0.9535,                0.86569,                0.61164,                0.68901,                0.58626,                0.59202,                0.50629,                0.95624,             1.8316e-05,             1.8316e-05,             1.8316e-05
                     25,                0.60337,                0.50881,                0.95385,                0.86895,                0.60778,                0.69765,                0.59381,                 0.5859,                0.50256,                0.95414,             1.5808e-05,             1.5808e-05,             1.5808e-05
                     26,                0.59628,                0.50146,                0.95065,                0.87451,                0.60035,                0.69404,                0.59058,                0.58554,                0.49885,                0.95276,               1.33e-05,               1.33e-05,               1.33e-05
                     27,                0.59324,                0.49837,                0.94996,                0.88403,                0.59727,                0.70415,                0.60105,                0.58836,                0.49895,                0.95426,             1.0792e-05,             1.0792e-05,             1.0792e-05
                     28,                0.58719,                0.49268,                0.94804,                0.88555,                0.59459,                0.70841,                0.60559,                0.58493,                0.49584,                0.95296,              8.284e-06,              8.284e-06,              8.284e-06
                     29,                0.58778,                0.49225,                0.94831,                0.88797,                0.60063,                0.70644,                0.60428,                0.58498,                0.49415,                0.95307,              5.776e-06,              5.776e-06,              5.776e-06
                     30,                0.58344,                0.48768,                 0.9467,                0.88687,                0.60008,                0.71099,                0.60871,                0.58228,                0.49318,                0.95226,              3.268e-06,              3.268e-06,              3.268e-06
